state,year,support,fte,cpi_u_rs,cpi_u_rs_2019_adj,real_support_fte
Virginia,1992,922800000,220348,210.2,1.7911512844909612,7501.199944307455
Washington,1992,870700000,159388,210.2,1.7911512844909612,9784.647673640926
West Virginia,1992,250500000,63284,210.2,1.7911512844909612,7089.997420595819
Wisconsin,1992,856900000,188268,210.2,1.7911512844909612,8152.407927424228
Wyoming,1992,136900000,22644,210.2,1.7911512844909612,10828.855804929013
U.S.,1992,38875132000,8112557,210.2,1.7911512844909612,8583.14371369664
Alabama,1991,805100000,170454,205.1,1.8356899073622623,8670.456219375066
Alaska,1991,170400000,17058,205.1,1.8356899073622623,18337.528444983556
Arizona,1991,566800000,154864,205.1,1.8356899073622623,6718.59850896871
Arkansas,1991,331400000,64911,205.1,1.8356899073622623,9372.026856770866
California,1991,5792500000,1107711,205.1,1.8356899073622623,9599.285182142188
Colorado,1991,476300000,131390,205.1,1.8356899073622623,6654.533091381731
Connecticut,1991,508400000,63332,205.1,1.8356899073622623,14736.069426245407
Delaware,1991,115600000,26013,205.1,1.8356899073622623,8157.680901513763
Florida,1991,1686500000,371517,205.1,1.8356899073622623,8333.10731074609
Georgia,1991,1023300000,176088,205.1,1.8356899073622623,10667.742732064668
Hawaii,1991,311900000,29970,205.1,1.8356899073622623,19104.160230440095
Idaho,1991,190300000,31281,205.1,1.8356899073622623,11167.539061124597
Illinois,1991,1610700000,371187,205.1,1.8356899073622623,7965.650019500672
Indiana,1991,854100000,171054,205.1,1.8356899073622623,9165.893518293102
Iowa,1991,552300000,100764,205.1,1.8356899073622623,10061.64439518258
Kansas,1991,446000000,104681,205.1,1.8356899073622623,7821.072579394245
Kentucky,1991,600600000,114792,205.1,1.8356899073622623,9604.46162068589
Louisiana,1991,585200000,125712,205.1,1.8356899073622623,8545.291887714744
Maine,1991,164000000,29554,205.1,1.8356899073622623,10186.54479283383
Maryland,1991,782700000,166686,205.1,1.8356899073622623,8619.76704997686
Massachusetts,1991,603700000,121414,205.1,1.8356899073622623,9127.497628565057
Michigan,1991,1423900000,334443,205.1,1.8356899073622623,7815.498781834648
Minnesota,1991,948100000,179644,205.1,1.8356899073622623,9688.147676349676
Mississippi,1991,377600000,95513,205.1,1.8356899073622623,7257.195450043347
Missouri,1991,596200000,154247,205.1,1.8356899073622623,7095.362131966138
Montana,1991,115900000,28054,205.1,1.8356899073622623,7583.819072620168
Nebraska,1991,327500000,65881,205.1,1.8356899073622623,9125.369145294408
Nevada,1991,163800000,30620,205.1,1.8356899073622623,9819.92184278049
New Hampshire,1991,73000000,26160,205.1,1.8356899073622623,5122.529175743316
New Jersey,1991,1060924000,164366,205.1,1.8356899073622623,11848.724671029293
New Mexico,1991,337900000,63068,205.1,1.8356899073622623,9835.092593672045
New York,1991,2374100000,437920,205.1,1.8356899073622623,9951.843736455852
North Carolina,1991,1396800000,224499,205.1,1.8356899073622623,11421.394583510875
North Dakota,1991,136900000,28391,205.1,1.8356899073622623,8851.60608354386
Ohio,1991,1416000000,330967,205.1,1.8356899073622623,7853.764601380088
Oklahoma,1991,589100000,105690,205.1,1.8356899073622623,10231.856603530217
Oregon,1991,427200000,102078,205.1,1.8356899073622623,7682.426462363668
Pennsylvania,1991,1253500000,286086,205.1,1.8356899073622623,8043.166386606111
Rhode Island,1991,112000000,27874,205.1,1.8356899073622623,7375.951410797638
South Carolina,1991,614700000,105570,205.1,1.8356899073622623,10688.62921337106
South Dakota,1991,83300000,20062,205.1,1.8356899073622623,7622.0202015390505
Tennessee,1991,697200000,144468,205.1,1.8356899073622623,8859.006862509132
Texas,1991,2961600000,612033,205.1,1.8356899073622623,8882.820419232421
Utah,1991,305200000,65125,205.1,1.8356899073622623,8602.72644494376
Vermont,1991,55400000,15382,205.1,1.8356899073622623,6611.443301772808
Virginia,1991,1026400000,215377,205.1,1.8356899073622623,8748.158442714988
Washington,1991,851700000,155141,205.1,1.8356899073622623,10077.652548974409
West Virginia,1991,245200000,60626,205.1,1.8356899073622623,7424.391602369061
Wisconsin,1991,837800000,188074,205.1,1.8356899073622623,8177.318525623444
Wyoming,1991,131000000,21593,205.1,1.8356899073622623,11136.728470543989
U.S.,1991,39117724000,7939385,205.1,1.8356899073622623,9044.530671554856
Alabama,1990,770600000,159669,197.9,1.902475997978777,9181.794863388921
Alaska,1990,161000000,15213,197.9,1.902475997978777,20134.00615753521
Arizona,1990,530400000,148735,197.9,1.902475997978777,6784.36998237095
Arkansas,1990,319000000,61487,197.9,1.902475997978777,9870.21392091385
California,1990,5358400000,1141287,197.9,1.902475997978777,8932.220718863422
Colorado,1990,466800000,127721,197.9,1.902475997978777,6953.248063016208
Connecticut,1990,497100000,63374,197.9,1.902475997978777,14922.851936050274
Delaware,1990,113800000,24657,197.9,1.902475997978777,8780.539748143927
Florida,1990,1643500000,349166,197.9,1.902475997978777,8954.821782986088
Georgia,1990,983300000,163655,197.9,1.902475997978777,11430.782125890022
Hawaii,1990,301200000,28337,197.9,1.902475997978777,20221.822020369396
Idaho,1990,164600000,29459,197.9,1.902475997978777,10629.944983445015
